Frequency_GHz,S11_dB
2.270000000000000018e+00,-1.061317616571992195e+00
2.279999999999999805e+00,-1.062618096937619550e+00
2.290000000000000036e+00,-1.063912562288168884e+00
2.299999999999999822e+00,-1.065192371760955492e+00
2.310000000000000053e+00,-1.066449712478422462e+00
2.319999999999999840e+00,-1.067677878823535043e+00
2.330000000000000071e+00,-1.068871508503254741e+00
2.339999999999999858e+00,-1.070026767178116955e+00
2.350000000000000089e+00,-1.071141475534589160e+00
2.359999999999999876e+00,-1.072215174952882766e+00
2.370000000000000107e+00,-1.073249130269954499e+00
2.379999999999999893e+00,-1.074246270455057273e+00
2.390000000000000124e+00,-1.075211070215222664e+00
2.399999999999999911e+00,-1.076149377557075182e+00
2.410000000000000142e+00,-1.077068194093373510e+00
2.419999999999999929e+00,-1.077975416358015526e+00
2.430000000000000160e+00,-1.078879547556480745e+00
2.439999999999999947e+00,-1.079789390016594242e+00
2.450000000000000178e+00,-1.080713729111902666e+00
2.459999999999999964e+00,-1.081661019607388363e+00
2.470000000000000195e+00,-1.082639085228951137e+00
2.479999999999999982e+00,-1.083654841789727818e+00
2.490000000000000213e+00,-1.084714053427109137e+00
2.500000000000000000e+00,-1.085821130425771885e+00
2.509999999999999787e+00,-1.086978975742106002e+00
2.520000000000000018e+00,-1.088188885729636457e+00
2.529999999999999805e+00,-1.089450508729305378e+00
2.540000000000000036e+00,-1.090761863181190172e+00
2.549999999999999822e+00,-1.092119414796471011e+00
2.560000000000000053e+00,-1.093518210173493932e+00
2.569999999999999840e+00,-1.094952062133055737e+00
2.580000000000000071e+00,-1.096413780074408484e+00
